humidity,temperature,voltage,time,ip
42.91,25.8125,23.68,2025-10-20 16:51:45.012407,17
42.91,25.8125,23.71,2025-10-20 16:51:45.706453,17
42.91,25.8125,23.73,2025-10-20 16:51:46.468772,17
42.82,25.8125,23.73,2025-10-20 16:51:46.740548,17
42.82,25.8125,23.71,2025-10-20 16:51:47.101933,17
42.82,25.8125,23.74,2025-10-20 16:51:47.880362,17
42.82,25.8125,23.67,2025-10-20 16:51:48.497370,17
42.82,25.8125,23.71,2025-10-20 16:51:49.198667,17
42.82,25.8125,23.73,2025-10-20 16:51:50.651253,17
42.82,25.8125,23.77,2025-10-20 16:51:51.307577,17
42.82,25.8125,23.71,2025-10-20 16:51:52.014504,17
42.7,25.8125,23.71,2025-10-20 16:51:52.497159,17
42.7,25.8125,23.73,2025-10-20 16:51:54.131740,17
42.7,25.8125,23.71,2025-10-20 16:51:54.805408,17
42.72,25.8125,23.71,2025-10-20 16:51:55.494263,17
42.72,25.8125,23.68,2025-10-20 16:51:55.589517,17
42.72,25.75,23.68,2025-10-20 16:51:55.639711,17
42.72,25.75,23.73,2025-10-20 16:51:56.189527,17
42.72,25.75,23.71,2025-10-20 16:51:56.896790,17
42.72,25.8125,23.71,2025-10-20 16:51:58.517739,17
42.72,25.8125,23.74,2025-10-20 16:51:59.008846,17
42.72,25.8125,23.68,2025-10-20 16:51:59.715228,17
42.72,25.8125,23.70,2025-10-20 16:52:00.418814,17
42.72,25.8125,23.68,2025-10-20 16:52:01.087854,17
42.62,25.8125,23.68,2025-10-20 16:52:01.310504,17
42.62,25.8125,23.70,2025-10-20 16:52:01.790925,17
42.62,25.8125,23.71,2025-10-20 16:52:02.541288,17
42.62,25.8125,23.67,2025-10-20 16:52:03.194109,17
42.6,25.8125,23.67,2025-10-20 16:52:03.682804,17
42.6,25.8125,23.71,2025-10-20 16:52:03.890817,17
42.6,25.75,23.71,2025-10-20 16:52:04.354215,17
42.6,25.75,23.68,2025-10-20 16:52:04.583552,17
42.6,25.75,23.73,2025-10-20 16:52:05.316896,17
42.6,25.75,23.68,2025-10-20 16:52:06.061576,17
42.62,25.75,23.68,2025-10-20 16:52:06.657379,17
42.62,25.75,23.73,2025-10-20 16:52:06.675708,17
42.62,25.75,23.71,2025-10-20 16:52:07.395697,17
42.62,25.75,23.73,2025-10-20 16:52:08.809718,17
42.6,25.75,23.73,2025-10-20 16:52:09.534599,17
42.6,25.8125,23.73,2025-10-20 16:52:09.628072,17
42.6,25.8125,23.68,2025-10-20 16:52:10.189208,17
42.6,25.8125,23.73,2025-10-20 16:52:10.941027,17
42.6,25.8125,23.71,2025-10-20 16:52:11.596865,17
42.6,25.8125,23.70,2025-10-20 16:52:12.272473,17
42.5,25.8125,23.70,2025-10-20 16:52:12.524744,17
42.5,25.8125,23.71,2025-10-20 16:52:12.981920,17
42.5,25.8125,23.70,2025-10-20 16:52:13.685288,17
42.5,25.8125,23.73,2025-10-20 16:52:14.415196,17
42.5,25.8125,23.71,2025-10-20 16:52:15.096830,17
42.5,25.8125,23.74,2025-10-20 16:52:16.507688,17
42.5,25.8125,23.70,2025-10-20 16:52:17.206412,17
42.5,25.8125,23.68,2025-10-20 16:52:17.905854,17
42.5,25.8125,23.70,2025-10-20 16:52:18.607095,17
42.5,25.8125,23.71,2025-10-20 16:52:19.294664,17
42.5,25.8125,23.70,2025-10-20 16:52:19.984238,17
42.5,25.8125,23.67,2025-10-20 16:52:20.686260,17
42.6,25.8125,23.67,2025-10-20 16:52:21.308300,17
42.6,25.8125,23.73,2025-10-20 16:52:21.395270,17
42.6,25.8125,23.71,2025-10-20 16:52:22.099930,17
42.6,25.8125,23.70,2025-10-20 16:52:26.290711,17
42.6,25.8125,23.74,2025-10-20 16:52:27.009380,17
42.6,25.8125,23.71,2025-10-20 16:52:27.725937,17
42.6,25.8125,23.76,2025-10-20 16:52:28.391282,17
42.6,25.8125,23.74,2025-10-20 16:52:29.083364,17
42.6,25.8125,23.71,2025-10-20 16:52:29.826792,17
42.6,25.8125,23.70,2025-10-20 16:52:30.504210,17
42.6,25.8125,23.74,2025-10-20 16:52:31.893944,17
42.6,25.8125,23.68,2025-10-20 16:52:32.596800,17
